objectid,filename,title,creator,date(original),date(digitized),source,subject,size,alttext/description,type,rights,rightsstatement
ANM-001,[10-9-22_Grand_Prix_d'Italie]_les_[...]Agence_Rol_btv1b53094267r_1.jpeg,"[September 10, 1922 – Italian Grand Prix] The Winning Voiturettes on Display in Milan [Piazza dei Mercanti]","Marcel Rol, The Rol Agency",1922-10-10,2015-09-13,Bibliothèque nationale de France: Gallica,"Italian Grand Prix, Grand Prix Winners, 1922",1429 x 1054 pixels,"Black and white image of the four winning racecars of the 1922 Italian Grand Prix on display in Milan, Italy. A crowd of onlookers view the display on the left side of the image.",image/jpeg,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
ANM-002,Gastone_Brilli_Peri1925.jpeg,"Gastone Brilli Peri, winner of the Italian Grand Prix and World Championship in 1925",Anonymous,1925-10,n/a,The Pirelli Foundation,"Italian Grand Prix, Grand Prix Winners, Drivers Championship, Gastone Brilli Peri, 1925",1708 x 1092 pixels,"Against a white background, driver Gastone Brilli Peri poses in his Alfa Romeo car after winning the Italian Grand Prix and the 1925 Drivers World Championship. Text at the bottom reads “Cfe Gastone Brilli Peri su Alfa Romeo - Pirelli Vincitore Gran Premio d’Italia Campionato del Mondo 1925.”",image/jpeg,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
ANM-003,MonzaCircuitStazza.jpeg,The Monza Racing Cirguit,Giovanni Stazza,1922,n/a,The Pirelli Foundation,"Monza Circuit/Autodromo, Car Racing, Italian Grand Prix, 1922",1556 x 1110 pixels,"Two racecars round the south curve of the Autodromo Nazionale Monza, with a crowd watching on in the distance. The starting grid is visible in the foreground",image/jpeg,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
ANM-004,MaterasssiCrash.jpeg,Emilio Materassi after His Crash at Monza,Unknown,1928-09-09,n/a,Biblioteca Ambrosiana,"Italian Grand Prix, 1928, Emilio Materassi, The Mattress Accident",1032 x 1204 pixels,Black and white image of a steward observing the aftermath of Emilio Materassi's fatal crash during the 1928 Italian Grand Prix. ,image/jpeg,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
ANM-005,CoppaFieraDiMilano.jpeg,Starting Grid for the Coppa Fiera di Milano,George Pahl,1924-04-19,2009-11-09,Bundesbildarchiv (German Federal Archives),"Coppa Fiera, Car Racing, Monza Circuit/Autodromo",800 x 544 pixels,Black and white image of drivers and engineers lining up their cars at the starting grid of the 1924 Coppa Fiera during the International Milan Trade Fair.,image/jpeg,Creative Commons,https://creativecommons.org/licenses/by-sa/3.0/de/deed.en
ANM-006,BridgeRacing.jpeg,A Race in 1925 with Cars Racing Across the Bridge,Unknown,1925-04,2022-07-17,Bundesbildarchiv (German Federal Archives),"Monza Cirguit/Autodromo, Car Racing, Bridge",800 x 559 pixels,Black and white photograph of three cars racing clockwise over the bridge featured in the original Monza circuit design in 1925.,image/jpeg,Creative Commons,https://creativecommons.org/licenses/by-sa/3.0/de/deed.en
ANM-007,Bordino1922.jpeg,"Pietro Bordino, vainqueur du Grand Prix d'Italie 1922",Unknown,1922-09-16,2016-04-29,"Bibliothèque nationale de France: Gallica, Le Monde Illustré","Italian Grand Prix, Grand Prix Winners, 1922",811 x 648 pixels,Black and white photograph of Peitro Bordino driving past a grandstand after winning the 1922 Italian Grand Prix.,image/jpeg,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
ANM-008,1931GPGrid.jpeg,Start of the 1931 Italian Grand Prix,Agence de presse Meurisse,1931-05-24,2019-10-26,Bibliothèque nationale de France,"Italian Grand Prix, 1931, Robert Sénéchal, Jean-Pierre Wimille",6341 x 4824 pixels,Black and white photograph of Jean-Pierre Wimille and Robert Sénéchal lining up in their cars (numbers 18 and 20) for the start of the 1931 Italian Grand Prix.,image/jpeg,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
ANM-009,Campari1931.jpeg,Giuseppe Campari at the 1931 Italian Grand Prix,Agence de presse Meurisse,1931-05-25,2015-04-02,Bibliothèque nationale de France,"Italian Grand Prix, 1931, Grand Prix Winners, Giuseppe Campari",6752 × 4928 pixels,Black and white photograph of Giuseppe Campari smiling in his car after winning the 1931 Italian Grand Prix.,image/jpeg,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
ANM-010,Benoist1927.jpeg,"Robert Benoist, Vainqueur du Grand Prix d'Europe 1927","Marcel Rol, The Rol Agency",1927-09,2024-10-28,Bibliothèque nationale de France,"Italian Grand Prix, 1927, Grand Prix Winners, Robert Benoist",1920 x 1415 pixels,Black and white photograph of Robert Benoist in his car after winning the 1927 Italian Grand Prix.,image/jpeg,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
